item_id,date,p10,p50,p90
1,2018-01-01T00:00:00Z,691.0756225586,822.5922851562,968.7648925781
1,2018-01-01T01:00:00Z,370.5609130859,478.5838317871,590.3420410156
1,2018-01-01T02:00:00Z,209.3226776123,328.945526123,418.7956848145
1,2018-01-01T03:00:00Z,145.7119293213,281.5110473633,428.9503173828
1,2018-01-01T04:00:00Z,314.9559936523,537.6411743164,696.1205444336
1,2018-01-01T05:00:00Z,1480.2071533203,1809.2619628906,2180.7116699219
1,2018-01-01T06:00:00Z,2905.9821777344,3480.1950683594,3927.6418457031
1,2018-01-01T07:00:00Z,3798.3522949219,4404.6899414062,5077.720703125
1,2018-01-01T08:00:00Z,3843.1018066406,4572.9931640625,5298.2890625
1,2018-01-01T09:00:00Z,3940.8969726562,4516.7446289062,5229.8764648438
1,2018-01-01T10:00:00Z,3687.7514648438,4225.6416015625,4735.96484375
1,2018-01-01T11:00:00Z,3481.2973632812,3948.6862792969,4366.0390625
1,2018-01-01T12:00:00Z,3067.8186035156,3405.9689941406,3718.6857910156
1,2018-01-01T13:00:00Z,2170.9211425781,2489.0246582031,2743.1643066406
1,2018-01-01T14:00:00Z,1511.5737304688,1695.0358886719,1910.0700683594
1,2018-01-01T15:00:00Z,899.7850952148,1128.63671875,1456.2995605469
1,2018-01-01T16:00:00Z,1363.6018066406,1611.5614013672,1828.5478515625
1,2018-01-01T17:00:00Z,1581.6350097656,1867.8123779297,2086.5170898438
1,2018-01-01T18:00:00Z,1694.8256835938,1931.943359375,2189.6923828125
1,2018-01-01T19:00:00Z,1284.1909179688,1452.8759765625,1706.7866210938
1,2018-01-01T20:00:00Z,897.4226074219,1209.7534179688,1408.2098388672
1,2018-01-01T21:00:00Z,1365.8040771484,1582.0747070312,1779.3591308594
1,2018-01-01T22:00:00Z,1245.0290527344,1462.4641113281,1625.6243896484
1,2018-01-01T23:00:00Z,685.0889282227,929.8950805664,1170.6702880859
1,2018-01-02T00:00:00Z,440.071105957,611.8732910156,941.3959960938
1,2018-01-02T01:00:00Z,338.0010986328,536.2696533203,787.9416503906
1,2018-01-02T02:00:00Z,277.0834960938,461.2780456543,677.3039550781
1,2018-01-02T03:00:00Z,279.9682006836,455.6511535645,700.6719970703
1,2018-01-02T04:00:00Z,401.2852783203,620.6583862305,939.4813232422
1,2018-01-02T05:00:00Z,1107.5266113281,1360.5657958984,1737.6795654297
1,2018-01-02T06:00:00Z,1919.5928955078,2249.1357421875,2640.4086914062
1,2018-01-02T07:00:00Z,2236.7041015625,2844.3283691406,3263.7690429688
1,2018-01-02T08:00:00Z,2325.6040039062,2868.0539550781,3346.0874023438
1,2018-01-02T09:00:00Z,2440.0144042969,2857.5705566406,3368.2644042969
1,2018-01-02T10:00:00Z,2572.7529296875,3076.4455566406,3548.7463378906
1,2018-01-02T11:00:00Z,2786.5007324219,3327.8168945312,3801.2841796875
1,2018-01-02T12:00:00Z,2994.9487304688,3436.9870605469,3920.1684570312
1,2018-01-02T13:00:00Z,3230.3032226562,3583.0537109375,3929.1049804688
