item_id,date,weather,p10,p50,p90
1,2018-01-01T00:00:00Z,sky is clear,643.9591064453,832.5372924805,1030.7116699219
1,2018-01-01T01:00:00Z,sky is clear,279.5833740234,521.9923095703,694.3076171875
1,2018-01-01T02:00:00Z,sky is clear,171.5219268799,381.360748291,573.8271484375
1,2018-01-01T03:00:00Z,sky is clear,118.8106689453,339.3444213867,567.2299804688
1,2018-01-01T04:00:00Z,sky is clear,375.5830688477,728.1096191406,1118.8952636719
1,2018-01-01T05:00:00Z,sky is clear,1203.9653320312,1884.9990234375,2520.3471679688
1,2018-01-01T06:00:00Z,sky is clear,3026.7236328125,4013.7570800781,4859.9716796875
1,2018-01-01T07:00:00Z,sky is clear,3673.2648925781,4963.8251953125,5953.5712890625
1,2018-01-01T08:00:00Z,sky is clear,4235.400390625,5398.7924804688,6568.0966796875
1,2018-01-01T09:00:00Z,sky is clear,4357.5102539062,5009.947265625,5974.6396484375
1,2018-01-01T10:00:00Z,sky is clear,3995.4392089844,4710.6010742188,5601.5229492188
1,2018-01-01T11:00:00Z,sky is clear,3737.3540039062,4581.734375,5184.6762695312
1,2018-01-01T12:00:00Z,sky is clear,3894.2028808594,4469.15234375,5178.0239257812
1,2018-01-01T13:00:00Z,sky is clear,3442.2446289062,4067.2741699219,5032.689453125
1,2018-01-01T14:00:00Z,sky is clear,3337.8916015625,3940.3657226562,4813.8666992188
1,2018-01-01T15:00:00Z,sky is clear,2777.1545410156,3784.7412109375,4522.7514648438
1,2018-01-01T16:00:00Z,sky is clear,3445.7934570312,4092.7114257812,4817.2548828125
1,2018-01-01T17:00:00Z,sky is clear,2890.7211914062,3827.88671875,4818.3520507812
1,2018-01-01T18:00:00Z,sky is clear,2897.3564453125,3547.2419433594,4139.7465820312
1,2018-01-01T19:00:00Z,sky is clear,2034.54296875,2497.4860839844,3229.7241210938
1,2018-01-01T20:00:00Z,sky is clear,1798.3518066406,2146.5422363281,2533.8432617188
1,2018-01-01T21:00:00Z,sky is clear,1439.0184326172,1787.2351074219,2172.3759765625
1,2018-01-01T22:00:00Z,sky is clear,1186.4515380859,1452.2608642578,1873.3234863281
1,2018-01-01T23:00:00Z,sky is clear,559.1730957031,920.7615356445,1200.0379638672
1,2018-01-02T00:00:00Z,sky is clear,232.9769134521,505.6113891602,715.5178222656
1,2018-01-02T01:00:00Z,sky is clear,41.5104064941,226.8372650146,395.9212036133
1,2018-01-02T02:00:00Z,sky is clear,-54.4757614136,117.7777709961,331.2351074219
1,2018-01-02T03:00:00Z,sky is clear,-56.0272674561,212.5099182129,427.8679199219
1,2018-01-02T04:00:00Z,sky is clear,222.365020752,478.9943237305,784.6260375977
1,2018-01-02T05:00:00Z,sky is clear,1298.4952392578,1654.5344238281,2335.384765625
1,2018-01-02T06:00:00Z,sky is clear,2308.830078125,3104.3708496094,3912.4506835938
1,2018-01-02T07:00:00Z,sky is clear,2861.8813476562,3940.4816894531,5045.9580078125
1,2018-01-02T08:00:00Z,sky is clear,2857.5522460938,3668.3186035156,4351.712890625
1,2018-01-02T09:00:00Z,sky is clear,2918.328125,3594.7158203125,4484.8735351562
1,2018-01-02T10:00:00Z,sky is clear,3132.5905761719,3745.0270996094,4441.6293945312
1,2018-01-02T11:00:00Z,sky is clear,3313.8208007812,4131.201171875,5167.607421875
1,2018-01-02T12:00:00Z,sky is clear,2991.9904785156,4151.48046875,4979.9970703125
1,2018-01-02T13:00:00Z,sky is clear,2445.6071777344,4524.5463867188,6064.521484375
1,2018-01-02T14:00:00Z,sky is clear,2650.4094238281,4884.1567382812,6987.4599609375
1,2018-01-02T15:00:00Z,sky is clear,2676.5026855469,4133.3115234375,5652.3759765625
1,2018-01-02T16:00:00Z,sky is clear,2434.7143554688,4384.263671875,6623.6118164062
1,2018-01-02T17:00:00Z,sky is clear,1466.4204101562,3898.2758789062,6206.216796875
1,2018-01-02T18:00:00Z,sky is clear,1586.3835449219,3154.8410644531,5600.490234375
1,2018-01-02T19:00:00Z,sky is clear,1302.2214355469,2662.123046875,3900.4743652344
1,2018-01-02T20:00:00Z,sky is clear,944.2442016602,2122.3596191406,3689.3142089844
1,2018-01-02T21:00:00Z,sky is clear,1187.7271728516,2184.5686035156,4058.46484375
1,2018-01-02T22:00:00Z,sky is clear,520.0496826172,1749.3959960938,2877.1350097656
1,2018-01-02T23:00:00Z,sky is clear,309.2088012695,1156.8846435547,1967.1459960938
